Results of parsing:
ID	nyskol	SK1X	%	SK2X	%	SK3X	%	SK4X	%	SK5X	%	SK6X	%	SK7X	%	SK10X	%	
73	174	2	9.52	0	0	1	4.76	1	4.76	0	0	0	0	0	0	0	0	
74	174	3	14.29	0	0	0	0	0	0	0	0	1	4.76	1	4.76	0	0	
75	174	2	9.52	0	0	1	4.76	2	9.52	1	4.76	1	4.76	0	0	0	0	
76	174	1	4.76	0	0	4	19.05	0	0	1	4.76	1	4.76	5	23.81	4	19.05	
77	174	6	28.57	0	0	0	0	18	85.71	0	0	0	0	0	0	0	0	
78	174	2	9.52	0	0	2	9.52	0	0	1	4.76	0	0	0	0	0	0	
79	174	0	0	1	4.76	0	0	0	0	0	0	2	9.52	4	19.05	1	4.76	
80	181	0	0	0	0	2	8.70	0	0	0	0	0	0	1	4.35	5	21.74	
81	181	1	4.35	0	0	0	0	0	0	0	0	0	0	2	8.70	0	0	
82	181	1	4.35	4	17.39	0	0	0	0	0	0	4	17.39	0	0	0	0	
83	181	1	4.35	0	0	2	8.70	0	0	0	0	2	8.70	0	0	1	4.35	
84	181	2	8.70	0	0	0	0	0	0	1	4.35	0	0	3	13.04	0	0	
85	181	1	4.35	3	13.04	4	17.39	2	8.70	6	26.09	3	13.04	0	0	0	0	
86	181	2	8.70	0	0	0	0	1	4.35	0	0	0	0	0	0	0	0	
87	181	2	8.70	0	0	0	0	3	13.04	1	4.35	0	0	2	8.70	0	0	
88	181	3	13.04	0	0	0	0	0	0	1	4.35	1	4.35	3	13.04	0	0	
89	181	0	0	0	0	1	4.35	0	0	0	0	0	0	0	0	4	17.39	
90	181	1	4.35	0	0	2	8.70	2	8.70	0	0	0	0	0	0	0	0	
91	181	2	8.70	0	0	0	0	0	0	1	4.35	1	4.35	4	17.39	0	0	
92	181	1	4.35	0	0	1	4.35	1	4.35	1	4.35	0	0	0	0	0	0	
93	181	1	4.35	0	0	1	4.35	0	0	2	8.70	0	0	0	0	2	8.70	
94	181	1	4.35	1	4.35	0	0	0	0	0	0	0	0	2	8.70	1	4.35	
95	181	1	4.35	0	0	1	4.35	0	0	0	0	0	0	0	0	1	4.35	
96	181	1	4.35	2	8.70	2	8.70	0	0	2	8.70	1	4.35	2	8.70	2	8.70	
97	181	0	0	3	13.04	0	0	0	0	0	0	1	4.35	0	0	0	0	
99	181	1	4.35	0	0	0	0	9	39.13	0	0	0	0	0	0	0	0	
100	181	0	0	3	13.04	1	4.35	0	0	0	0	3	13.04	0	0	2	8.70	
101	181	2	8.70	3	13.04	0	0	0	0	0	0	4	17.39	0	0	0	0	
102	181	3	13.04	0	0	1	4.35	3	13.04	1	4.35	0	0	0	0	4	17.39	
103	181	1	4.35	0	0	0	0	6	26.09	0	0	1	4.35	0	0	0	0	
915	181	2	8.70	0	0	0	0	1	4.35	0	0	0	0	0	0	0	0	
104	182	0	0	3	12.00	6	24.00	1	4.00	6	24.00	3	12.00	0	0	2	8.00	
105	182	0	0	0	0	0	0	0	0	0	0	0	0	1	4.00	0	0	
106	182	1	4.00	0	0	0	0	1	4.00	0	0	0	0	1	4.00	0	0	
107	182	0	0	0	0	1	4.00	4	16.00	0	0	0	0	0	0	0	0	
108	182	1	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109	182	0	0	1	4.00	1	4.00	0	0	0	0	0	0	1	4.00	0	0	
110	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111	182	1	4.00	2	8.00	0	0	2	8.00	0	0	0	0	13	52.00	0	0	
112	182	1	4.00	0	0	0	0	0	0	0	0	1	4.00	0	0	5	20.00	
113	182	4	16.00	0	0	3	12.00	0	0	0	0	0	0	0	0	1	4.00	
114	182	6	24.00	0	0	0	0	0	0	0	0	0	0	0	0	2	8.00	
115	182	1	4.00	0	0	0	0	0	0	0	0	2	8.00	0	0	1	4.00	
116	182	0	0	12	48.00	1	4.00	1	4.00	1	4.00	2	8.00	16	64.00	0	0	
117	182	6	24.00	0	0	7	28.00	5	20.00	2	8.00	0	0	0	0	0	0	
118	182	0	0	0	0	1	4.00	0	0	3	12.00	0	0	0	0	1	4.00	
119	182	3	12.00	0	0	0	0	9	36.00	0	0	6	24.00	1	4.00	0	0	
120	182	0	0	8	32.00	0	0	0	0	0	0	3	12.00	0	0	0	0	
121	182	1	4.00	0	0	0	0	2	8.00	0	0	0	0	0	0	0	0	
122	182	1	4.00	0	0	0	0	0	0	0	0	2	8.00	0	0	1	4.00	
123	182	0	0	0	0	0	0	0	0	0	0	3	12.00	0	0	0	0	
124	182	0	0	0	0	1	4.00	1	4.00	0	0	0	0	0	0	0	0	
125	182	7	28.00	0	0	6	24.00	2	8.00	0	0	0	0	0	0	0	0	
126	182	0	0	0	0	0	0	4	16.00	0	0	0	0	0	0	2	8.00	
127	182	2	8.00	1	4.00	0	0	0	0	0	0	0	0	0	0	0	0	
128	182	0	0	6	24.00	0	0	0	0	1	4.00	3	12.00	2	8.00	1	4.00	
129	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	40.00	
130	183	3	11.54	1	3.85	0	0	6	23.08	0	0	2	7.69	0	0	0	0	
131	183	3	11.54	0	0	1	3.85	3	11.54	0	0	0	0	0	0	0	0	
132	183	1	3.85	0	0	6	23.08	1	3.85	0	0	0	0	0	0	3	11.54	
133	183	1	3.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
134	183	1	3.85	0	0	0	0	11	42.31	1	3.85	1	3.85	0	0	0	0	
135	183	0	0	0	0	0	0	0	0	0	0	0	0	1	3.85	1	3.85	
136	183	0	0	7	26.92	0	0	0	0	0	0	3	11.54	6	23.08	0	0	
137	183	3	11.54	0	0	0	0	0	0	2	7.69	0	0	0	0	4	15.38	
138	183	0	0	3	11.54	0	0	0	0	1	3.85	6	23.08	0	0	1	3.85	
139	183	11	42.31	0	0	0	0	2	7.69	0	0	0	0	0	0	2	7.69	
140	183	0	0	0	0	1	3.85	1	3.85	0	0	0	0	0	0	0	0	
141	183	1	3.85	0	0	0	0	0	0	0	0	0	0	1	3.85	1	3.85	
142	183	1	3.85	0	0	0	0	1	3.85	0	0	0	0	0	0	0	0	
143	183	1	3.85	0	0	0	0	0	0	0	0	1	3.85	2	7.69	0	0	
144	183	1	3.85	0	0	6	23.08	0	0	0	0	0	0	0	0	3	11.54	
145	183	1	3.85	0	0	0	0	0	0	0	0	0	0	0	0	1	3.85	
146	183	1	3.85	2	7.69	0	0	0	0	0	0	2	7.69	0	0	0	0	
147	183	0	0	0	0	0	0	0	0	0	0	6	23.08	0	0	0	0	
148	183	1	3.85	1	3.85	0	0	0	0	0	0	0	0	4	15.38	0	0	
149	183	0	0	3	11.54	0	0	0	0	0	0	2	7.69	3	11.54	1	3.85	
150	183	0	0	2	7.69	0	0	0	0	2	7.69	1	3.85	0	0	3	11.54	
151	183	0	0	0	0	6	23.08	0	0	2	7.69	0	0	0	0	7	26.92	
152	183	2	7.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
153	183	0	0	1	3.85	0	0	0	0	0	0	0	0	1	3.85	2	7.69	
154	183	1	3.85	0	0	5	19.23	0	0	9	34.62	0	0	0	0	0	0	
155	183	5	19.23	0	0	0	0	0	0	0	0	0	0	2	7.69	0	0	
156	183	1	3.85	0	0	0	0	0	0	0	0	0	0	2	7.69	1	3.85	
157	191	0	0	0	0	0	0	1	6.67	0	0	0	0	0	0	0	0	
158	191	5	33.33	0	0	0	0	3	20.00	0	0	1	6.67	0	0	0	0	
159	191	0	0	0	0	0	0	0	0	0	0	1	6.67	0	0	5	33.33	
160	191	2	13.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
161	191	4	26.67	0	0	0	0	0	0	0	0	1	6.67	6	40.00	0	0	
162	191	0	0	2	13.33	0	0	0	0	0	0	1	6.67	0	0	5	33.33	
163	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
164	191	7	46.67	0	0	0	0	3	20.00	0	0	0	0	0	0	0	0	
165	191	3	20.00	0	0	0	0	1	6.67	0	0	0	0	0	0	1	6.67	
166	191	0	0	0	0	0	0	5	33.33	0	0	1	6.67	5	33.33	0	0	
167	191	0	0	6	40.00	0	0	0	0	0	0	3	20.00	0	0	0	0	
168	191	0	0	2	13.33	0	0	1	6.67	0	0	0	0	0	0	0	0	
169	191	0	0	0	0	10	66.67	1	6.67	4	26.67	0	0	0	0	6	40.00	
170	191	1	6.67	0	0	0	0	2	13.33	0	0	0	0	0	0	0	0	
171	191	0	0	1	6.67	1	6.67	0	0	1	6.67	0	0	0	0	0	0	
172	191	0	0	0	0	2	13.33	2	13.33	0	0	0	0	0	0	0	0	
173	192	0	0	0	0	0	0	0	0	3	17.65	0	0	0	0	0	0	
174	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176	192	3	17.65	0	0	0	0	1	5.88	0	0	0	0	0	0	0	0	
177	192	0	0	0	0	0	0	0	0	0	0	0	0	6	35.29	1	5.88	
178	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
179	192	0	0	0	0	0	0	1	5.88	0	0	0	0	3	17.65	0	0	
180	192	0	0	0	0	10	58.82	0	0	8	47.06	0	0	0	0	10	58.82	
181	192	0	0	0	0	0	0	0	0	1	5.88	0	0	0	0	1	5.88	
182	192	0	0	1	5.88	0	0	0	0	0	0	0	0	0	0	1	5.88	
183	192	1	5.88	0	0	10	58.82	0	0	5	29.41	0	0	0	0	7	41.18	
